,description,displaySymbol,symbol
198,COINBASE ANKR/EUR,ANKR/EUR,COINBASE:ANKR-EUR
199,COINBASE KNC/BTC,KNC/BTC,COINBASE:KNC-BTC
200,COINBASE LTC/BTC,LTC/BTC,COINBASE:LTC-BTC
201,COINBASE DASH/BTC,DASH/BTC,COINBASE:DASH-BTC
202,COINBASE CRV/BTC,CRV/BTC,COINBASE:CRV-BTC
203,COINBASE UMA/USD,UMA/USD,COINBASE:UMA-USD
204,COINBASE ETC/BTC,ETC/BTC,COINBASE:ETC-BTC
205,COINBASE MASK/GBP,MASK/GBP,COINBASE:MASK-GBP
206,COINBASE SKL/BTC,SKL/BTC,COINBASE:SKL-BTC
207,COINBASE FORTH/GBP,FORTH/GBP,COINBASE:FORTH-GBP
208,COINBASE 1INCH/BTC,1INCH/BTC,COINBASE:1INCH-BTC
209,COINBASE ETH/BTC,ETH/BTC,COINBASE:ETH-BTC
210,COINBASE RLC/USD,RLC/USD,COINBASE:RLC-USD
211,COINBASE CHZ/EUR,CHZ/EUR,COINBASE:CHZ-EUR
212,COINBASE BNT/BTC,BNT/BTC,COINBASE:BNT-BTC
213,COINBASE REN/USD,REN/USD,COINBASE:REN-USD
214,COINBASE LINK/GBP,LINK/GBP,COINBASE:LINK-GBP
215,COINBASE ANKR/USD,ANKR/USD,COINBASE:ANKR-USD
216,COINBASE MATIC/BTC,MATIC/BTC,COINBASE:MATIC-BTC
217,COINBASE OMG/EUR,OMG/EUR,COINBASE:OMG-EUR
218,COINBASE SOL/GBP,SOL/GBP,COINBASE:SOL-GBP
219,COINBASE CLV/EUR,CLV/EUR,COINBASE:CLV-EUR
220,COINBASE MKR/BTC,MKR/BTC,COINBASE:MKR-BTC
221,COINBASE FET/USDT,FET/USDT,COINBASE:FET-USDT
222,COINBASE MIR/EUR,MIR/EUR,COINBASE:MIR-EUR
223,COINBASE BCH/BTC,BCH/BTC,COINBASE:BCH-BTC
224,COINBASE LINK/USD,LINK/USD,COINBASE:LINK-USD
225,COINBASE SNX/EUR,SNX/EUR,COINBASE:SNX-EUR
226,COINBASE DOGE/EUR,DOGE/EUR,COINBASE:DOGE-EUR
227,COINBASE OGN/USD,OGN/USD,COINBASE:OGN-USD
228,COINBASE LINK/BTC,LINK/BTC,COINBASE:LINK-BTC
229,COINBASE CVC/USDC,CVC/USDC,COINBASE:CVC-USDC
230,COINBASE CGLD/BTC,CGLD/BTC,COINBASE:CGLD-BTC
231,COINBASE GNT/USDC,GNT/USDC,COINBASE:GNT-USDC
232,COINBASE CLV/USDT,CLV/USDT,COINBASE:CLV-USDT
233,COINBASE BAND/EUR,BAND/EUR,COINBASE:BAND-EUR
234,COINBASE LTC/USD,LTC/USD,COINBASE:LTC-USD
235,COINBASE BNT/USD,BNT/USD,COINBASE:BNT-USD
236,COINBASE POLY/USDT,POLY/USDT,COINBASE:POLY-USDT
237,COINBASE SOL/BTC,SOL/BTC,COINBASE:SOL-BTC
238,COINBASE MASK/USD,MASK/USD,COINBASE:MASK-USD
239,COINBASE STORJ/USD,STORJ/USD,COINBASE:STORJ-USD
240,COINBASE XTZ/USD,XTZ/USD,COINBASE:XTZ-USD
241,COINBASE STORJ/BTC,STORJ/BTC,COINBASE:STORJ-BTC
242,COINBASE CRV/USD,CRV/USD,COINBASE:CRV-USD
