,ticker,company_name,industry,full,url,group
76,ACRO,Acropolis Infrastructure Acquisition,Blank Check / SPAC,ACRO - Acropolis Infrastructure Acquisition,https://stockanalysis.com/stocks/ACRO/,1
77,ACRS,Aclaris Therapeutics,Pharmaceuticals,ACRS - Aclaris Therapeutics,https://stockanalysis.com/stocks/ACRS/,1
78,ACRX,AcelRx Pharmaceuticals,Pharmaceuticals,ACRX - AcelRx Pharmaceuticals,https://stockanalysis.com/stocks/ACRX/,1
79,ACST,Acasti Pharma,Pharmaceuticals,ACST - Acasti Pharma,https://stockanalysis.com/stocks/ACST/,1
80,ACT,Enact Holdings,Insurance-Specialty,ACT - Enact Holdings,https://stockanalysis.com/stocks/ACT/,1
81,ACTD,Arclight Clean Transition II,Blank Check / SPAC,ACTD - Arclight Clean Transition II,https://stockanalysis.com/stocks/ACTD/,1
82,ACTG,Acacia Research,Professional Services,ACTG - Acacia Research,https://stockanalysis.com/stocks/ACTG/,1
83,ACU,Acme United,Commercial Services & Supplies,ACU - Acme United,https://stockanalysis.com/stocks/ACU/,1
84,ACVA,ACV Auctions,Software-Application,ACVA - ACV Auctions,https://stockanalysis.com/stocks/ACVA/,1
85,ACXP,Acurx Pharmaceuticals,Biotechnology,ACXP - Acurx Pharmaceuticals,https://stockanalysis.com/stocks/ACXP/,1
86,ACY,AeroCentury,Trading Companies & Distributors,ACY - AeroCentury,https://stockanalysis.com/stocks/ACY/,1
87,ADAG,Adagene,Biotechnology,ADAG - Adagene,https://stockanalysis.com/stocks/ADAG/,1
88,ADAP,Adaptimmune Therapeutics,Biotechnology,ADAP - Adaptimmune Therapeutics,https://stockanalysis.com/stocks/ADAP/,1
89,ADBE,Adobe,Software,ADBE - Adobe,https://stockanalysis.com/stocks/ADBE/,1
90,ADC,Agree Realty,Equity Real Estate Investment Trusts...,ADC - Agree Realty,https://stockanalysis.com/stocks/ADC/,1
91,ADCT,ADC Therapeutics SA,Communications Equipment,ADCT - ADC Therapeutics SA,https://stockanalysis.com/stocks/ADCT/,1
92,ADER,26 Capital Acquisition,Blank Check / SPAC,ADER - 26 Capital Acquisition,https://stockanalysis.com/stocks/ADER/,1
93,ADES,Advanced Emissions Solutions,Chemicals,ADES - Advanced Emissions Solutions,https://stockanalysis.com/stocks/ADES/,1
94,ADEX,Adit EdTech Acquisition,Blank Check / SPAC,ADEX - Adit EdTech Acquisition,https://stockanalysis.com/stocks/ADEX/,1
95,ADF,Aldel Financial,Blank Check / SPAC,ADF - Aldel Financial,https://stockanalysis.com/stocks/ADF/,1
